노원구,서울 태릉과 강릉 [유네스코 세계문화유산],4.7,https://lh5.googleusercontent.com/p/AF1QipMnDzL42PVAYCrWKrUMlmDEKlQJ8cW96ZVci6x1=w426-h240-k-no,서울특별시 노원구 공릉동 산 223-19, 별표 5개 ,산책하기 좋은 소나무숲
노원구,서울 태릉과 강릉 [유네스코 세계문화유산],4.7,https://lh5.googleusercontent.com/p/AF1QipMnDzL42PVAYCrWKrUMlmDEKlQJ8cW96ZVci6x1=w426-h240-k-no,서울특별시 노원구 공릉동 산 223-19, 별표 5개 ,역사책에서 보던 문정왕후의 능이 이리 가까운 곳에 있었다니... 강릉까지 조성된 숲길은 진짜 등산로 같고 좋으나 17시까지로 입장이 제한되어 있었다(동절기는 더 짧았던 듯). 왕복 1시간 30분 소요.
노원구,서울 태릉과 강릉 [유네스코 세계문화유산],4.7,https://lh5.googleusercontent.com/p/AF1QipMnDzL42PVAYCrWKrUMlmDEKlQJ8cW96ZVci6x1=w426-h240-k-no,서울특별시 노원구 공릉동 산 223-19, 별표 5개 ,왕조의 흔적태릉은 문정왕후의 릉이나왕릉급으로 조성되었다.…
노원구,서울 태릉과 강릉 [유네스코 세계문화유산],4.7,https://lh5.googleusercontent.com/p/AF1QipMnDzL42PVAYCrWKrUMlmDEKlQJ8cW96ZVci6x1=w426-h240-k-no,서울특별시 노원구 공릉동 산 223-19, 별표 5개 ,"태릉(문정왕후), 강릉(명종 인순왕후)은 세계문화유산에 등재된 조선왕릉...태릉에서 강릉까지 산책길이 조성되어 있어서 트래킹하기 좋은 곳...봄(4-5월)과 가을(10-11월)에만 개방하는 산책길은 1시간 내외가 소요되는 힐링 산책길임입장료(1,000원)를 내고 들어가면 산책코스를 돌아서 태릉로(낙엽길)까지 걸을 수 있는 낭만과 힐링이 조화로운 길임..."
노원구,서울 태릉과 강릉 [유네스코 세계문화유산],4.7,https://lh5.googleusercontent.com/p/AF1QipMnDzL42PVAYCrWKrUMlmDEKlQJ8cW96ZVci6x1=w426-h240-k-no,서울특별시 노원구 공릉동 산 223-19, 별표 5개 ,공릉동에서 숲길로된 사색의 길을 걸을 수 있는곳. 경춘선철길과 어우러져 두개의 릉을 오가며 깊지 않은 숲길의 느낌을 갖는다.
노원구,서울 태릉과 강릉 [유네스코 세계문화유산],4.7,https://lh5.googleusercontent.com/p/AF1QipMnDzL42PVAYCrWKrUMlmDEKlQJ8cW96ZVci6x1=w426-h240-k-no,서울특별시 노원구 공릉동 산 223-19, 별표 5개 ,조선왕릉 전시관이 있다 (코로나19로 인해 영업중단) 산책로가 있고 3~5분만 걸으면 능이 나타난다. 문정왕후의 위력처럼 석물도 좀 커보인다.
노원구,서울 태릉과 강릉 [유네스코 세계문화유산],4.7,https://lh5.googleusercontent.com/p/AF1QipMnDzL42PVAYCrWKrUMlmDEKlQJ8cW96ZVci6x1=w426-h240-k-no,서울특별시 노원구 공릉동 산 223-19, 별표 4개 ,서울특별시 노원구 화랑로에 있는 조선 중종의 두 번째 계비 문정왕후 윤씨의 무덤. 사적 제201호이다.*대중교통: 화랑대역 1번출구 버스정류장(11118.79035) 73.82B.202.1155.버스타고 태릉정류장(11148.79050) 하차 약 10분거리
노원구,서울 태릉과 강릉 [유네스코 세계문화유산],4.7,https://lh5.googleusercontent.com/p/AF1QipMnDzL42PVAYCrWKrUMlmDEKlQJ8cW96ZVci6x1=w426-h240-k-no,서울특별시 노원구 공릉동 산 223-19, 별표 5개 ,숲 속에서 휴식과 산책하기 돟은 곳...
노원구,서울 태릉과 강릉 [유네스코 세계문화유산],4.7,https://lh5.googleusercontent.com/p/AF1QipMnDzL42PVAYCrWKrUMlmDEKlQJ8cW96ZVci6x1=w426-h240-k-no,서울특별시 노원구 공릉동 산 223-19, 별표 5개 ,산책만으로도 힐링되는 곳
노원구,서울 태릉과 강릉 [유네스코 세계문화유산],4.7,https://lh5.googleusercontent.com/p/AF1QipMnDzL42PVAYCrWKrUMlmDEKlQJ8cW96ZVci6x1=w426-h240-k-no,서울특별시 노원구 공릉동 산 223-19, 별표 5개 ,조선 제11대 왕 중종(中宗 재위 1506∼1544)의 두 번째 계비인 문정왕후(文定王后) 윤씨(1501~1565)의 무덤이다. 명종과 인순왕후 심씨의 무덤인 강릉(康陵)과 함께 1970년 5월 26일 사적 제201호로 지정되었다. 문정왕후는 자신이 중종 옆에 묻힐 요량으로 장경왕후의 능 옆에 있었던 중종의 정릉(靖陵)을 풍수지리가 안 좋다 하여 선릉(宣陵) 옆으로 옮겼다. 하지만 새로 옮긴 정릉의 지대가 낮아 홍수 피해가…
